section	context	id	ru_source	kk_draft	review_status
cake-steps	/cake-preorder	step[0]	Тип торта	Торт түрі	DRAFT_REQUIRES_KK_EDITORIAL
cake-steps	/cake-preorder	step[1]	Размер	Өлшемі	DRAFT_REQUIRES_KK_EDITORIAL
cake-steps	/cake-preorder	step[10]	Готово	Дайын	DRAFT_REQUIRES_KK_EDITORIAL
cake-steps	/cake-preorder	step[2]	Порции	Порция	DRAFT_REQUIRES_KK_EDITORIAL
cake-steps	/cake-preorder	step[3]	Дата	Күні	DRAFT_REQUIRES_KK_EDITORIAL
cake-steps	/cake-preorder	step[4]	Точка	Дүкен	DRAFT_REQUIRES_KK_EDITORIAL
cake-steps	/cake-preorder	step[5]	Время	Уақыты	DRAFT_REQUIRES_KK_EDITORIAL
cake-steps	/cake-preorder	step[6]	Упаковка	Қаптама	DRAFT_REQUIRES_KK_EDITORIAL
cake-steps	/cake-preorder	step[7]	Имя	Аты	DRAFT_REQUIRES_KK_EDITORIAL
cake-steps	/cake-preorder	step[8]	Телефон	Телефон	DRAFT_REQUIRES_KK_EDITORIAL
cake-steps	/cake-preorder	step[9]	Комментарий	Пікір	DRAFT_REQUIRES_KK_EDITORIAL
catalog	src/i18n/catalog.ts	«Булочка с маком»	«Булочка с маком»	«Көкнәрлі тоқаш»	DRAFT_REQUIRES_KK_EDITORIAL
catalog	src/i18n/catalog.ts	«Булочка с орехами»	«Булочка с орехами»	«Жаңғақты тоқаш»	DRAFT_REQUIRES_KK_EDITORIAL
catalog	src/i18n/catalog.ts	«Булочка с творогом»	«Булочка с творогом»	«Сүзбелі тоқаш»	DRAFT_REQUIRES_KK_EDITORIAL
catalog	src/i18n/catalog.ts	«Булочка со сгущёнкой»	«Булочка со сгущёнкой»	«Қоюлатылған сүтті тоқаш»	DRAFT_REQUIRES_KK_EDITORIAL
catalog	src/i18n/catalog.ts	«Клубника со сливками»	«Клубника со сливками»	«Кілегейлі құлпынай»	DRAFT_REQUIRES_KK_EDITORIAL
catalog	src/i18n/catalog.ts	«Конфетка ассорти»	«Конфетка ассорти»	«Кәмпит ассортиі»	DRAFT_REQUIRES_KK_EDITORIAL
catalog	src/i18n/catalog.ts	«Конфетка белая»	«Конфетка белая»	«Ақ кәмпит»	DRAFT_REQUIRES_KK_EDITORIAL
catalog	src/i18n/catalog.ts	«Меренговый рулет»	«Меренговый рулет»	«Меренга рулеті»	DRAFT_REQUIRES_KK_EDITORIAL
catalog	src/i18n/catalog.ts	«Молочная Девочка» (Шоколадная)	«Молочная Девочка» (Шоколадная)	«Сүтті қыз» (шоколадты)	DRAFT_REQUIRES_KK_EDITORIAL
